MovieID,Titolo Film,Genere film,AnnoFilm
91,Mary Reilly,Drama|Thriller,1996
92,Vampire in Brooklyn,Comedy|Romance,1995
93,Beautiful Girls,Drama,1996
94,Broken Arrow,Action|Thriller,1996
95,In the Bleak Midwinter,Comedy,1995
96,"Hate (Haine, La)",Drama,1995
97,Shopping,Action|Thriller,1994
98,Heidi Fleiss: Hollywood Madam,Documentary,1995
99,City Hall,Drama|Thriller,1996
100,Bottle Rocket,Comedy,1996
101,Mr. Wrong,Comedy,1996
102,Unforgettable,Thriller,1996
103,Happy Gilmore,Comedy,1996
104,"Bridges of Madison County, The",Drama|Romance,1995
105,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994
106,Muppet Treasure Island,Adventure|Children's|Comedy|Musical,1996
107,Catwalk,Documentary,1995
108,Headless Body in Topless Bar,Comedy,1995
109,Braveheart,Action|Drama|War,1995
110,Taxi Driver,Drama|Thriller,1976
111,Rumble in the Bronx,Action|Adventure|Crime,1995
112,Before and After,Drama|Mystery,1996
113,Margaret's Museum,Drama,1995
114,Happiness Is in the Field,Comedy,1995
115,Anne Frank Remembered,Documentary,1995
116,"Young Poisoner's Handbook, The",Crime,1995
117,If Lucy Fell,Comedy|Romance,1996
118,"Steal Big, Steal Little",Comedy,1995
119,Race the Sun,Drama,1996
120,"Boys of St. Vincent, The",Drama,1993
121,Boomerang,Comedy|Romance,1992
122,Chungking Express,Drama|Mystery|Romance,1994
123,"Star Maker, The (Uomo delle stelle, L')",Drama,1995
124,Flirting With Disaster,Comedy,1996
125,"NeverEnding Story III, The",Adventure|Children's|Fantasy,1994
126,"Silence of the Palace, The (Saimt el Qusur)",Drama,1994
127,Jupiter's Wife,Documentary,1994
128,Pie in the Sky,Comedy|Romance,1995
129,Angela,Drama,1995
130,Frankie Starlight,Drama|Romance,1995
131,Jade,Thriller,1995
132,Nueba Yol,Comedy|Drama,1995
133,Sonic Outlaws,Documentary,1995
134,Down Periscope,Comedy,1996
135,From the Journals of Jean Seberg,Documentary,1995
136,Man of the Year,Documentary,1995
137,"Neon Bible, The",Drama,1995
138,Target,Action|Drama,1995
139,Up Close and Personal,Drama|Romance,1996
140,"Birdcage, The",Comedy,1996
141,Shadows (Cienie),Drama,1988
142,Gospa,Drama,1995
143,"Brothers McMullen, The",Comedy,1995
144,Bad Boys,Action,1995
145,"Amazing Panda Adventure, The",Adventure|Children's,1995
146,"Basketball Diaries, The",Drama,1995
147,"Awfully Big Adventure, An",Drama,1995
148,Amateur,Crime|Drama|Thriller,1994
149,Apollo 13,Drama,1995
150,Rob Roy,Drama|Romance|War,1995
151,"Addiction, The",Horror,1995
152,Batman Forever,Action|Adventure|Comedy|Crime,1995
153,Belle de jour,Drama,1967
154,Beyond Rangoon,Drama|War,1995
155,Blue in the Face,Comedy,1995
156,Canadian Bacon,Comedy|War,1994
157,Casper,Adventure|Children's,1995
158,Clockers,Drama,1995
159,Congo,Action|Adventure|Mystery|Sci-Fi,1995
160,Crimson Tide,Drama|Thriller|War,1995
161,Crumb,Documentary,1994
162,Desperado,Action|Romance|Thriller,1995
163,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,1995
164,Die Hard: With a Vengeance,Action|Thriller,1995
165,"Doom Generation, The",Comedy|Drama,1995
166,Feast of July,Drama,1995
167,First Knight,Action|Adventure|Drama|Romance,1995
168,Free Willy 2: The Adventure Home,Adventure|Children's|Drama,1995
169,Hackers,Action|Crime|Thriller,1995
170,Jeffrey,Comedy,1995
171,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995
172,Judge Dredd,Action|Adventure|Sci-Fi,1995
173,Jury Duty,Comedy,1995
174,Kids,Drama,1995
175,Living in Oblivion,Comedy,1995
176,Lord of Illusions,Horror,1995
177,Love & Human Remains,Comedy,1993
178,Mad Love,Drama|Romance,1995
179,Mallrats,Comedy,1995
180,Mighty Morphin Power Rangers: The Movie,Action|Children's,1995
181,Moonlight and Valentino,Drama|Romance,1995
182,Mute Witness,Thriller,1994
183,Nadja,Drama,1994
184,"Net, The",Sci-Fi|Thriller,1995
185,Nine Months,Comedy,1995
186,Party Girl,Comedy,1995
187,"Prophecy, The",Horror,1995
188,Reckless,Comedy,1995
189,Safe,Thriller,1995
190,"Scarlet Letter, The",Drama,1995
191,"Show, The",Documentary,1995
192,Showgirls,Drama,1995
193,Smoke,Drama,1995
194,Something to Talk About,Comedy|Drama|Romance,1995
195,Species,Horror|Sci-Fi,1995
196,"Stars Fell on Henrietta, The",Drama,1995
197,Strange Days,Action|Crime|Sci-Fi,1995
198,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical,1964
199,"Tie That Binds, The",Thriller,1995
200,Three Wishes,Drama,1995
201,Total Eclipse,Drama|Romance,1995
202,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,1995
203,Under Siege 2: Dark Territory,Action,1995
204,Unstrung Heroes,Comedy|Drama,1995
205,Unzipped,Documentary,1995
206,"Walk in the Clouds, A",Drama|Romance,1995
207,Waterworld,Action|Adventure,1995
208,White Man's Burden,Drama,1995
209,Wild Bill,Western,1995
210,"Browning Version, The",Drama,1994
211,Bushwhacked,Comedy,1995
212,Burnt By the Sun (Utomlyonnye solntsem),Drama,1994
213,Before the Rain (Pred dozhdot),Drama,1994
214,Before Sunrise,Drama|Romance,1995
215,Billy Madison,Comedy,1995
216,"Babysitter, The",Drama|Thriller,1995
217,Boys on the Side,Comedy|Drama,1995
218,"Cure, The",Drama,1995
219,Castle Freak,Horror,1995
220,Circle of Friends,Drama|Romance,1995
221,Clerks,Comedy,1994
222,Don Juan DeMarco,Comedy|Drama|Romance,1995
223,Disclosure,Drama|Thriller,1994
224,Dream Man,Thriller,1995
225,Drop Zone,Action,1994
226,Destiny Turns on the Radio,Comedy,1995
227,Death and the Maiden,Drama|Thriller,1994
228,Dolores Claiborne,Drama|Thriller,1994
229,Dumb & Dumber,Comedy,1994
230,Eat Drink Man Woman,Comedy|Drama,1994
231,Exotica,Drama,1994
232,Exit to Eden,Comedy,1994
233,Ed Wood,Comedy|Drama,1994
234,French Kiss,Comedy|Romance,1995
235,Forget Paris,Comedy|Romance,1995
236,Far From Home: The Adventures of Yellow Dog,Adventure|Children's,1995
237,"Goofy Movie, A",Animation|Children's|Comedy|Romance,1995
238,Hideaway,Thriller,1995
239,Fluke,Children's|Drama,1995
240,Farinelli: il castrato,Drama|Musical,1994
241,Gordy,Comedy,1995
242,Gumby: The Movie,Animation|Children's,1995
243,"Glass Shield, The",Crime|Drama,1994
244,Hoop Dreams,Documentary,1994
245,Heavenly Creatures,Drama|Fantasy|Romance|Thriller,1994
246,Houseguest,Comedy,1994
247,Immortal Beloved,Drama|Romance,1994
248,Heavyweights,Children's|Comedy,1994
249,"Hunted, The",Action,1995
250,I.Q.,Comedy|Romance,1994
251,Interview with the Vampire,Drama|Horror,1994
252,Jefferson in Paris,Drama,1995
253,"Jerky Boys, The",Comedy,1994
254,Junior,Comedy|Sci-Fi,1994
255,Just Cause,Mystery|Thriller,1995
256,"Kid in King Arthur's Court, A",Adventure|Children's|Comedy|Fantasy|Romance,1995
257,Kiss of Death,Crime|Drama|Thriller,1995
258,Star Wars: Episode IV - A New Hope,Action|Adventure|Fantasy|Sci-Fi,1977
259,Little Women,Drama,1994
260,"Little Princess, A",Children's|Drama,1995
261,Ladybird Ladybird,Drama,1994
262,"Enfer, L'",Drama,1994
263,Like Water for Chocolate (Como agua para chocolate),Drama|Romance,1992
264,Legends of the Fall,Drama|Romance|War|Western,1994
265,Major Payne,Comedy,1994
266,Little Odessa,Drama,1994
267,My Crazy Life (Mi vida loca),Drama,1993
268,Love Affair,Drama|Romance,1994
269,Losing Isaiah,Drama,1995
270,"Madness of King George, The",Drama,1994
271,Mary Shelley's Frankenstein,Drama|Horror,1994
272,Man of the House,Comedy,1995
273,Mixed Nuts,Comedy,1994
274,Milk Money,Comedy|Romance,1994
275,Miracle on 34th Street,Drama,1994
276,Miami Rhapsody,Comedy,1995
277,My Family,Drama,1995
278,Murder in the First,Drama|Thriller,1995
279,Nobody's Fool,Drama,1994
280,Nell,Drama,1994
281,New Jersey Drive,Crime|Drama,1995
282,New York Cop,Action|Crime,1996
283,Beyond Bedlam,Drama|Horror,1993
284,Nemesis 2: Nebula,Action|Sci-Fi|Thriller,1995
285,Nina Takes a Lover,Comedy|Romance,1994
286,Natural Born Killers,Action|Thriller,1994
287,Only You,Comedy|Romance,1994
288,Once Were Warriors,Crime|Drama,1994
289,Poison Ivy II,Thriller,1995
290,Outbreak,Action|Drama|Thriller,1995
291,"Professional, The (a.k.a. Leon: The Professional)",Crime|Drama|Romance|Thriller,1994
292,"Perez Family, The",Comedy|Romance,1995
293,"Pyromaniac's Love Story, A",Comedy|Romance,1995
294,Pulp Fiction,Crime|Drama,1994
295,Panther,Drama,1995
296,Pushing Hands,Comedy,1992
297,Priest,Drama,1994
298,Quiz Show,Drama,1994
299,Picture Bride,Drama|Romance,1995
300,Queen Margot (La Reine Margot),Drama|Romance,1994
301,"Quick and the Dead, The",Action|Adventure|Western,1995
302,Roommates,Comedy|Drama,1995
303,Ready to Wear (Pret-A-Porter),Comedy,1994
304,Three Colors: Red,Drama,1994
305,Three Colors: Blue,Drama,1993
306,Three Colors: White,Drama,1994
307,"Red Firecracker, Green Firecracker",Drama,1994
308,Rent-a-Kid,Comedy,1995
309,Relative Fear,Horror|Thriller,1994
310,Stuart Saves His Family,Comedy,1995
311,"Swan Princess, The",Animation|Children's,1994
312,"Secret of Roan Inish, The",Drama,1994
313,"Specialist, The",Action,1994
314,Stargate,Action|Adventure|Sci-Fi,1994
315,"Santa Clause, The",Children's|Comedy|Fantasy,1994
316,"Shawshank Redemption, The",Drama,1994
317,Shallow Grave,Thriller,1994
318,Suture,Film-Noir|Thriller,1993
319,Strawberry and Chocolate (Fresa y chocolate),Drama,1993
320,Swimming with Sharks,Comedy|Drama,1995
321,"Sum of Us, The",Comedy,1994
322,National Lampoon's Senior Trip,Comedy,1995
323,To Live (Huozhe),Drama,1994
324,Tank Girl,Action|Comedy|Musical|Sci-Fi,1995
325,Tales From the Crypt Presents: Demon Knight,Horror,1995
326,Star Trek: Generations,Action|Adventure|Sci-Fi,1994
327,Tales from the Hood,Comedy|Horror,1995
328,Tom & Viv,Drama,1994
329,Village of the Damned,Horror|Sci-Fi,1995
330,Tommy Boy,Comedy,1995
331,Vanya on 42nd Street,Drama,1994
332,"Underneath, The",Mystery|Thriller,1995
333,"Walking Dead, The",Drama|War,1995
334,What's Eating Gilbert Grape,Drama,1993
335,Virtuosity,Sci-Fi|Thriller,1995
336,While You Were Sleeping,Comedy|Romance,1995
337,"War, The",Adventure|Drama,1994
338,Double Happiness,Drama,1994
339,Muriel's Wedding,Comedy|Romance,1994
340,"Baby-Sitters Club, The",Children's,1995
341,Ace Ventura: Pet Detective,Comedy,1994
342,"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,1994
343,Backbeat,Drama|Musical,1993
344,Bitter Moon,Drama,1992
345,Bullets Over Broadway,Comedy,1994
346,Clear and Present Danger,Action|Adventure|Thriller,1994
347,"Client, The",Drama|Mystery|Thriller,1994
348,"Corrina, Corrina",Comedy|Drama|Romance,1994
349,Crooklyn,Comedy,1994
350,"Crow, The",Action|Romance|Thriller,1994
351,Cobb,Drama,1994
352,"Flintstones, The",Children's|Comedy,1994
353,Forrest Gump,Comedy|Romance|War,1994
354,Four Weddings and a Funeral,Comedy|Romance,1994
355,Higher Learning,Drama,1995
356,I Like It Like That,Comedy|Drama|Romance,1994
357,I Love Trouble,Action|Comedy,1994
358,It Could Happen to You,Drama|Romance,1994
359,"Jungle Book, The",Adventure|Children's|Romance,1994
360,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)",Documentary,1993
361,"Lion King, The",Animation|Children's|Musical,1994
362,Little Buddha,Drama,1993
363,Wes Craven's New Nightmare,Horror,1994
364,"Mask, The",Comedy|Crime|Fantasy,1994
365,Maverick,Action|Comedy|Western,1994
366,Mrs. Parker and the Vicious Circle,Drama,1994
367,Naked Gun 33 1/3: The Final Insult,Comedy,1994
368,"Paper, The",Comedy|Drama,1994
369,Reality Bites,Comedy|Drama,1994
370,Red Rock West,Thriller,1992
371,Richie Rich,Children's|Comedy,1994
372,Safe Passage,Drama,1994
373,"River Wild, The",Action|Thriller,1994
374,Speed,Action|Romance|Thriller,1994
375,Speechless,Comedy|Romance,1994
376,Timecop,Action|Sci-Fi,1994
377,True Lies,Action|Adventure|Comedy|Romance,1994
378,When a Man Loves a Woman,Drama,1994
379,Wolf,Drama|Horror,1994
380,Wyatt Earp,Western,1994
381,Bad Company,Action,1995
382,"Man of No Importance, A",Drama,1994
383,S.F.W.,Drama,1994
384,"Low Down Dirty Shame, A",Action|Comedy,1994
385,Boys Life,Drama,1995
386,"Colonel Chabert, Le",Drama|Romance|War,1994
387,Faster Pussycat! Kill! Kill!,Action|Comedy|Drama,1965
388,Jason's Lyric,Crime|Drama,1994
389,"Secret Adventures of Tom Thumb, The",Adventure|Children's,1993
390,Street Fighter,Action,1994
391,Coldblooded,Action,1995
392,Desert Winds,Drama,1995
393,Fall Time,Drama,1995
394,"Fear, The",Horror,1995
395,Frank and Ollie,Documentary,1995
396,Girl in the Cadillac,Drama,1995
397,Homage,Drama,1995
398,Mirage,Action|Thriller,1995
399,Open Season,Comedy,1996
400,Two Crimes,Comedy|Crime|Drama,1995
401,Brother Minister: The Assassination of Malcolm X,Documentary,1994
402,Highlander III: The Sorcerer,Action|Sci-Fi,1994
403,Federal Hill,Drama,1994
404,In the Mouth of Madness,Horror|Thriller,1995
405,8 Seconds,Drama,1994
406,Above the Rim,Drama,1994
407,Addams Family Values,Comedy,1993
408,You So Crazy,Comedy,1994
409,"Age of Innocence, The",Drama,1993
410,Airheads,Comedy,1994
411,"Air Up There, The",Comedy,1994
412,Another Stakeout,Comedy|Thriller,1993
413,Bad Girls,Western,1994
414,Barcelona,Comedy|Romance,1994
415,Being Human,Drama,1993
416,"Beverly Hillbillies, The",Comedy,1993
417,Beverly Hills Cop III,Action|Comedy,1994
418,Black Beauty,Adventure|Children's,1994
419,Blink,Thriller,1994
420,Blown Away,Action|Thriller,1994
421,Blue Chips,Drama,1994
422,Blue Sky,Drama|Romance,1994
423,Body Snatchers,Horror|Sci-Fi|Thriller,1993
424,Boxing Helena,Mystery|Romance|Thriller,1993
425,"Bronx Tale, A",Drama,1993
426,Cabin Boy,Comedy,1994
427,Calendar Girl,Drama,1993
428,Carlito's Way,Crime|Drama,1993
429,City Slickers II: The Legend of Curly's Gold,Comedy|Western,1994
430,Clean Slate,Comedy,1994
431,Cliffhanger,Action|Adventure|Crime,1993
432,Coneheads,Comedy|Sci-Fi,1993
433,Color of Night,Drama|Thriller,1994
434,Cops and Robbersons,Comedy,1994
435,"Cowboy Way, The",Action|Comedy,1994
436,Dangerous Game,Drama,1993
437,Dave,Comedy|Romance,1993
438,Dazed and Confused,Comedy,1993
439,Demolition Man,Action|Sci-Fi,1993
440,"Endless Summer 2, The",Documentary,1994
441,Even Cowgirls Get the Blues,Comedy|Romance,1993
442,Fatal Instinct,Comedy,1993
443,Farewell My Concubine,Drama|Romance,1993
444,"Favor, The",Comedy|Romance,1994
445,Fearless,Drama,1993
446,Fear of a Black Hat,Comedy,1993
447,With Honors,Comedy|Drama,1994
448,Flesh and Bone,Drama|Mystery|Romance,1993
449,Widows' Peak,Drama,1994
450,For Love or Money,Comedy,1993
451,"Firm, The",Drama|Thriller,1993
452,Free Willy,Adventure|Children's|Drama,1993
453,Fresh,Drama,1994
454,"Fugitive, The",Action|Thriller,1993
455,Geronimo: An American Legend,Drama|Western,1993
456,"Getaway, The",Action,1994
457,Getting Even with Dad,Comedy,1994
458,Go Fish,Drama|Romance,1994
459,"Good Man in Africa, A",Action|Adventure,1994
460,Guilty as Sin,Crime|Drama|Thriller,1993
461,Hard Target,Action|Adventure|Crime|Thriller,1993
462,Heaven & Earth,Action|Drama|War,1993
463,Hot Shots! Part Deux,Action|Comedy|War,1993
464,Live Nude Girls,Comedy,1995
465,"Englishman Who Went Up a Hill, But Came Down a Mountain, The",Comedy|Romance,1995
466,"House of the Spirits, The",Drama|Romance,1993
467,House Party 3,Comedy,1994
468,"Hudsucker Proxy, The",Comedy|Romance,1994
469,I'll Do Anything,Comedy|Drama,1994
470,In the Army Now,Comedy|War,1994
471,In the Line of Fire,Action|Thriller,1993
472,In the Name of the Father,Drama,1993
473,"Inkwell, The",Comedy|Drama,1994
474,What's Love Got to Do with It?,Drama,1993
475,Jimmy Hollywood,Comedy,1994
476,Judgment Night,Action,1993
477,Jurassic Park,Action|Adventure|Sci-Fi,1993
478,Kalifornia,Drama|Thriller,1993
479,Killing Zoe,Thriller,1994
480,King of the Hill,Drama,1993
481,Lassie,Adventure|Children's,1994
482,Last Action Hero,Action|Comedy,1993
483,Life with Mikey,Comedy,1993
484,Lightning Jack,Comedy|Western,1994
485,M. Butterfly,Drama,1993
486,Made in America,Comedy,1993
487,Malice,Thriller,1993
488,"Man Without a Face, The",Drama,1993
489,Manhattan Murder Mystery,Comedy|Mystery,1993
490,Menace II Society,Action|Crime|Drama,1993
491,Executive Decision,Action|Thriller,1996
492,In the Realm of the Senses (Ai no corrida),Drama,1976
493,What Happened Was...,Comedy|Drama|Romance,1994
494,Much Ado About Nothing,Comedy|Romance,1993
495,Mr. Jones,Drama|Romance,1993
496,Mr. Wonderful,Comedy|Romance,1993
497,Mrs. Doubtfire,Comedy,1993
498,Naked,Drama,1993
499,"Next Karate Kid, The",Action|Children's,1994
500,"New Age, The",Drama,1994
501,No Escape,Action|Sci-Fi,1994
502,North,Comedy,1994
503,Orlando,Drama,1993
504,"Perfect World, A",Action|Drama,1993
505,Philadelphia,Drama,1993
506,"Piano, The",Drama|Romance,1993
507,Poetic Justice,Drama,1993
508,"Program, The",Action|Drama,1993
509,Robert A. Heinlein's The Puppet Masters,Horror|Sci-Fi,1994
510,Radioland Murders,Comedy|Mystery|Romance,1994
511,"Ref, The",Comedy,1994
512,"Remains of the Day, The",Drama,1993
513,Renaissance Man,Comedy|Drama|War,1994
514,Rising Sun,Action|Drama|Mystery,1993
515,"Road to Wellville, The",Comedy,1994
516,Robocop 3,Sci-Fi|Thriller,1993
517,Robin Hood: Men in Tights,Comedy,1993
518,Romeo Is Bleeding,Crime|Thriller,1993
519,Romper Stomper,Action|Drama,1992
520,Ruby in Paradise,Drama,1993
521,Rudy,Drama,1993
522,"Saint of Fort Washington, The",Drama,1993
523,"Savage Nights (Nuits fauves, Les)",Drama,1992
524,Schindler's List,Dramatic,1993
525,"Scout, The",Drama,1994
526,Searching for Bobby Fischer,Drama,1993
527,Second Best,Drama,1994
528,"Secret Garden, The",Children's|Drama,1993
529,Serial Mom,Comedy|Crime|Horror,1994
530,"Shadow, The",Action,1994
531,Shadowlands,Drama|Romance,1993
532,Short Cuts,Drama,1993
533,"Simple Twist of Fate, A",Drama,1994
534,Sirens,Comedy|Drama,1994
535,Six Degrees of Separation,Drama,1993
536,Sleepless in Seattle,Comedy|Romance,1993
537,Sliver,Thriller,1993
538,Blade Runner,Film-Noir|Sci-Fi,1982
539,Son in Law,Comedy,1993
540,So I Married an Axe Murderer,Comedy|Romance|Thriller,1993
541,Striking Distance,Action,1993
542,Harlem,Drama,1993
543,Super Mario Bros.,Action|Adventure|Children's|Sci-Fi,1993
544,Surviving the Game,Action|Adventure|Thriller,1994
545,Terminal Velocity,Action,1994
546,Thirty-Two Short Films About Glenn Gould,Documentary,1993
547,Threesome,Comedy|Romance,1994
548,"Nightmare Before Christmas, The",Children's|Comedy|Musical,1993
549,"Three Musketeers, The",Action|Adventure|Comedy,1993
550,Tombstone,Western,1993
551,Trial by Jury,Thriller,1994
552,True Romance,Action|Crime|Romance,1993
553,"War Room, The",Documentary,1993
554,Mamma Roma,Drama,1962
555,"Pagemaster, The",Action|Adventure|Animation|Children's|Fantasy,1994
556,"Paris, France",Comedy,1993
557,"Beans of Egypt, Maine, The",Drama,1994
558,Killer (Bulletproof Heart),Thriller,1994
559,Welcome to the Dollhouse,Comedy|Drama,1995
560,Germinal,Drama,1993
561,Chasers,Comedy,1994
562,Cronos,Horror,1992
563,Naked in New York,Comedy|Romance,1994
564,Kika,Drama,1993
565,Bhaji on the Beach,Comedy|Drama,1993
566,Little Big League,Children's|Comedy,1994
567,"Slingshot, The (Kådisbellan )",Comedy|Drama,1993
568,"Wedding Gift, The",Drama,1994
569,Foreign Student,Drama,1994
570,"Ciao, Professore! (Io speriamo che me la cavo )",Drama,1993
571,Spanking the Monkey,Comedy|Drama,1994
572,"Little Rascals, The",Children's|Comedy,1994
573,Fausto,Comedy,1993
574,Andre,Adventure|Children's,1994
575,"Hour of the Pig, The",Drama|Mystery,1993
576,"Scorta, La",Thriller,1993
577,Princess Caraboo,Drama,1994
578,"Celluloid Closet, The",Documentary,1995
579,Metisse (Café au Lait),Comedy,1993
580,Dear Diary (Caro Diario),Comedy|Drama,1994
581,I Don't Want to Talk About It (De eso no se habla),Drama,1993
582,"Brady Bunch Movie, The",Comedy,1995
583,Home Alone,Children's|Comedy,1990
584,Ghost,Comedy|Romance|Thriller,1990
585,Aladdin,Animation|Children's|Comedy|Musical,1992
586,Terminator 2: Judgment Day,Action|Sci-Fi|Thriller,1991
587,Dances with Wolves,Adventure|Drama|Western,1990
588,Tough and Deadly,Action|Drama|Thriller,1995
589,Batman,Action|Adventure|Crime|Drama,1989
590,"Silence of the Lambs, The",Drama|Thriller,1991
591,Snow White and the Seven Dwarfs,Animation|Children's|Musical,1937
592,Beauty and the Beast,Animation|Children's|Musical,1991
593,Pinocchio,Animation|Children's,1940
594,Pretty Woman,Comedy|Romance,1990
595,Window to Paris,Comedy,1994
596,"Wild Bunch, The",Western,1969
597,Love and a .45,Thriller,1994
598,"Wooden Man's Bride, The (Wu Kui)",Drama,1994
599,"Great Day in Harlem, A",Documentary,1994
600,"Bye Bye, Love",Comedy,1995
601,Criminals,Documentary,1996
602,One Fine Day,Drama|Romance,1996
603,Candyman: Farewell to the Flesh,Horror,1995
604,Century,Drama,1993
605,Fargo,Dramma,1996
606,Homeward Bound II: Lost in San Francisco,Adventure|Children's,1996
607,Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi,1981
608,Hellraiser: Bloodline,Action|Horror|Sci-Fi,1996
609,"Pallbearer, The",Comedy,1996
610,Jane Eyre,Drama|Romance,1996
611,Loaded,Drama|Thriller,1994
612,Bread and Chocolate (Pane e cioccolata),Drama,1973
613,"Aristocats, The",Animation|Children's,1970
614,"Flower of My Secret, The (La Flor de Mi Secreto)",Drama,1995
615,Two Much,Comedy|Romance,1996
616,Ed,Comedy,1996
617,Scream of Stone (Schrei aus Stein),Drama,1991
618,My Favorite Season,Drama,1993
619,"Modern Affair, A",Romance,1995
620,Condition Red,Action|Drama|Thriller,1995
621,Asfour Stah,Drama,1990
622,"Thin Line Between Love and Hate, A",Comedy,1996
623,"Last Supper, The",Drama|Thriller,1995
624,Primal Fear,Drama|Thriller,1996
625,Rude,Drama,1995
626,Carried Away,Drama|Romance,1996
627,All Dogs Go to Heaven 2,Animation|Children's|Musical,1996
628,Land and Freedom (Tierra y libertad),War,1995
629,Denise Calls Up,Comedy,1995
630,Theodore Rex,Comedy,1995
631,"Family Thing, A",Comedy|Drama,1996
632,Frisk,Drama,1995
633,Sgt. Bilko,Comedy,1996
634,Jack and Sarah,Romance,1995
635,Girl 6,Comedy,1996
636,Diabolique,Drama|Thriller,1996
637,"Little Indian, Big City (Un indien dans la ville)",Comedy,1994
638,Roula,Drama,1995
639,Peanuts - Die Bank zahlt alles,Comedy,1996
